,JNAME,P0,DECJ,Flux,W50
75,J0349+2340,NaN,+23:40:00,Nan,NaN
76,J0357+3205,0.44410449883310915,+32:05:25,NaN,NaN
77,J0401-7608,0.5452541781516362,-76:08:13.0,5.0,13.0
78,J0407+1607,0.02570173919463,16:07:16.4,NaN,5.3
79,J0410-31,1.8785,-31:07:29,NaN,18.0
80,J0418-4154,0.7571189332566466,-41:54:14.53,2.2,7.1
81,J0420-5022,3.453004027143985,-50:22:48.1,NaN,NaN
82,J0421-0345,2.1613084945519363,-03:45:06.6036,1.2459793200074405,25.0
83,J0421+32,0.9001,+32:54,NaN,207.0
84,J0435+2749,0.3262794534509304,27:49:01.7,0.5980700736035715,53.0
85,J0437-4715,0.0057574519367126365,-47:15:09.110714,300.0,14.0
86,J0447-04,2.18819,-04:35,NaN,NaN
87,J0448-2749,0.4504483308562931,-27:49:46.7292,4.983917280029762,10.5
88,J0449-7031,0.479163971291,-70:31:31.7,0.3488742096020834,7.9
89,J0450-1248,0.4380141493906399,-12:48:07.10,4.0,18.7
90,J0451-67,0.24545429,-67:18,0.12459793200074405,5.5
91,J0452-1759,0.5489392232937018,-17:59:23.371,50.0,17.9
92,J0453+1559,0.0457818168729515,+15:59:21.3063,NaN,NaN
93,J0455-6951,0.320422711526,-69:51:34.3,NaN,NaN
94,J0456-69,0.117073051,-69:10,NaN,NaN
95,J0456-7031,0.80013207321,-70:31:06.6,0.12459793200074405,8.0
96,J0457+23,0.5049,+23:34:00,NaN,NaN
97,J0457-6337,2.49701169613,-63:37:30.4,0.44855255520267856,36.0
98,J0457-69,0.231390388,-69:46,NaN,NaN
99,J0458-0505,1.88347965849,-05:05:05.1,NaN,26.0
100,J0458-67,1.1339,-67:43,NaN,NaN
101,J0459-0210,1.1330761236588236,-02:10:06.627,1.4951751840089285,10.1
102,J0502-6617,0.69125141818,-66:17:58.8,NaN,NaN
103,J0509+0856,0.00405583823156445,+08:56:25.0248,1.9935669120119048,NaN
104,J0511-6508,0.322061827468,-65:08:36.5,1.4951751840089285,12.0
105,J0514-4002A,0.0049905751141137164,-40:02:48.897,NaN,NaN
106,J0514-4408,0.3202708224090367,-44:08:37.38,NaN,NaN
107,J0517+2212,0.22236651519824963,22:12:51.9,1.1463009744068453,28.0
108,J0519-6932,0.263211634568,-69:32:23.48,0.3488742096020834,4.1
109,J0520-2553,0.2416421756731351,-25:53:12.2898,1.9935669120119048,9.5
110,J0521-68,0.4334207,-68:35,NaN,NaN
111,J0522-6847,0.67453190906,-68:47:02.2,0.4734721416028274,12.0
112,J0525+1115,0.3544375945137003,11:15:19.08,5.7,15.2
113,J0525-6607,8.047,-66:04:36.3,NaN,NaN
114,J0528+2200,3.7455392503014053,+22:00:04,22.17843189613244,151.9
115,J0529-6652,0.97572496638,-66:52:38.2,0.7475875920044642,24.0
116,J0532-6639,0.64274275093,-66:39:37.3,0.19935669120119048,9.0
117,J0532-69,1.1491957,-69:46,NaN,NaN
118,J0533+0402,0.96301770198,04:02:00.5,3.6,7.2
119,J0534+2200,0.033392412302258895,+22:00:52.06,34.88742096020833,3.0
120,J0534+34,NaN,+34:07,NaN,NaN
121,J0534-6703,1.81756503106,-67:03:48.8,0.19935669120119048,25.0
122,J0535-66,0.210524357,-66:52,NaN,NaN
123,J0535-6935,0.20051133,-69:35,0.12459793200074405,NaN
124,J0536-7543,1.245856132913541,-75:43:54.8,23.0,21.5
125,J0537-69,0.112613212,-69:21,NaN,NaN
126,J0537-6910,0.016122222024544827,-69:10:19.88,0.0,NaN
127,J0538+2817,0.1431582589117747,+28:17:09.161,4.734721416028274,2.7
128,J0540+3207,0.5242708632083,+32:07:37.3,0.8472659376050596,12.0
129,J0540-6919,0.050569703022172514,-69:19:54.17,0.05980700736035714,18.0
130,J0540-7125,1.286014595,-71:25:31.4,0.7475875920044642,30.0
131,J0542-68,0.425189,-68:16,NaN,NaN
132,J0543+2329,0.24597476889006475,23:29:05,26.663957448159223,5.3
133,J0543-6851,0.70895418575,-68:51:25.3,0.5482309008032739,58.0
134,J0544+20,NaN,+20:50,NaN,2.3
135,J0545-03,1.07393,-03:10,NaN,NaN
136,J0546+2441,2.84385038524,+24:41:21,NaN,28.0
137,J0550+09,1.745,+09:51,NaN,22.5
138,J0554+3107,0.4649609657362604,+31:07:41,0.0,NaN
139,J0555-7056,0.82783808575,-70:56:45.6,0.523311314403125,27.0
140,J0557+1550,0.0025563670767829263,+15:50:06.046,0.12459793200074405,NaN
141,J0557-2948,0.0436426389,-29:48:16.804,NaN,1.1
142,J0600-5756,2.261364513,-57:56:54,NaN,60.0
143,J0601-0527,0.39596916954318157,-05:27:50.871,6.2,9.3
144,J0608+00,1.0762,+00:39,NaN,NaN
145,J0609+16,0.9458,+16:34,NaN,45.0
146,J0609+2130,0.05569801392951,+21:30:2.84,NaN,1.6
147,J0610-2100,0.0038613247042986,-21:00:27.9313,0.9967834560059524,0.2
148,J0611+04,1.67443,+04:06,NaN,81.0
149,J0611+1436,0.27032946262,+14:36:52,2.7411545040163694,11.6
150,J0611+30,1.41209,30:16,NaN,NaN
151,J0613-0200,0.00306184404096233,-02:00:47.2314,5.606906940033483,0.462
152,J0614+2229,0.33495996611057016,+22:29:56.848,8.223463512049106,6.2
153,J0614-3329,0.00314866957943889,-33:29:54.118,NaN,NaN
