,JNAME,P0,DECJ,Flux,W50
132,J1314-6101,2.9483896038,-61:01:16,1.021703042406101,59.0
133,J1317-6302,0.26127055606486,-63:02:52.2,3.9871338240238097,10.2
134,J1319-6056,0.28435267192139774,-60:56:46.7,4.4,7.3
135,J1320-5359,0.27973768328216575,-53:59:05.00,7.1,10.5
136,J1322-6241,0.5060584137338984,-62:41:53.5,0.9220246968055059,8.7
137,J1326-5859,0.4779936127568716,-58:59:29.29,36.0,9.1
138,J1326-6408,0.7926738766410666,-64:08:43.8,8.2,4.5
139,J1326-6700,0.543015040685032,-67:00:49.2,25.0,31.4
140,J1327-6222,0.5299291867467958,-62:22:45.46,72.0,10.7
141,J1327-6301,0.1964799448606416,-63:01:15.45,15.0,14.0
142,J1328-4357,0.53269880337,-43:57:44.12,7.6,9.0
143,J1334-5839,0.1077182159234,-58:39:16.545,1.5450143568092263,4.1
144,J1338-6204,1.2389895765,-62:04:18.7,14.7025559760878,89.5
145,J1340-6456,0.37862206628,-64:56:42.9,2.242762776013393,14.1
146,J1345-6115,1.2530845900978997,-61:15:30.6,1.4702555976087797,27.0
147,J1347-5947,0.6099617543042217,-59:47:39.8,1.6696122888099703,11.0
148,J1350-5115,0.2956991763,-51:15:24.77,NaN,6.0
149,J1352-6803,0.62890254638,-68:03:37.1,2.491958640014881,27.1
150,J1355-5153,0.644304508142042,-51:53:54.0,4.3,3.8
151,J1356-5521,0.507379566696,-55:21:12.96,2.242762776013393,15.4
152,J1359-6038,0.12750846621665984,-60:38:07.55,40.0,10.0
153,J1401-6357,0.8428053217722605,-63:57:45.4,20.0,5.1
154,J1402-5124,1.380177,-51:24,NaN,15.0
155,J1413-6307,0.394945790784,-63:07:35.45,2.990350368017857,3.1
156,J1418-3921,1.0968060034,-39:21:18.51,2.491958640014881,20.4
157,J1420-5416,0.935772204694025,-54:16:22.5,4.6,7.0
158,J1424-5822,0.366734060217,-58:22:56.0,3.2395462320193453,9.0
159,J1428-5530,0.5702924098196743,-55:30:50.1,15.0,9.0
160,J1430-6623,0.7854433453623382,-66:23:05.55,33.0,2.6
161,J1435-5954,0.47299543551438067,-59:54:49.2,4.7,15.3
162,J1440-6344,0.45960672390058893,-63:44:48.4,7.0,11.7
163,J1452-6036,0.1549913579183,-60:36:31.35,4.3,23.2
164,J1453-6413,0.17948731541916407,-64:13:16.047,53.0,6.1
165,J1456-6843,0.26337690718181694,-68:43:39.50,90.0,19.5
166,J1457-5122,1.7483010801,-51:22:53,NaN,14.0
167,J1502-5653,0.5355043977897375,-56:53:39.21,0.9718638696058036,7.2
168,J1507-4352,0.28675849983581736,-43:52:03.8,8.0,5.6
169,J1507-6640,0.35565630109503815,-66:40:57.80,3.5,3.6
170,J1511-5414,0.2003836959221,-54:14:40.3,1.8689689800111609,5.9
171,J1512-5759,0.12869988365687532,-58:00:00.2,25.0,49.4
172,J1514-4834,0.45483920949,-48:34:19.5,3.2395462320193453,8.0
173,J1522-5829,0.39535448158740866,-58:29:03.1,12.9,17.4
174,J1527-3931,2.417605394424385,-39:31:36.6,2.8,5.8
175,J1527-5552,1.0487185538266182,-55:52:08.3,5.2,4.0
176,J1528-3146,0.06082223035146,-31:46:06.836,0.9967834560059524,0.4
177,J1534-5334,1.3688822425450322,-53:34:19.66,21.0,5.5
178,J1534-5405,0.2896888952,-54:05:39.7,3.4887420960208333,4.3
179,J1536-5433,0.881438431123562,-54:33:15,4.485525552026786,33.5
180,J1539-5626,0.24339606504269956,-56:26:26.3,8.4,18.8
181,J1542-5034,0.5992450364,-50:34:01.4,0.7475875920044642,5.3
182,J1543+0929,0.7484484162291084,+09:29:16.339,14.7025559760878,46.2
183,J1543-0620,0.7090640697858092,-06:20:45.332,4.983917280029762,6.3
184,J1544-5308,0.17855387294898442,-53:08:46.93,11.0,8.7
185,J1548-4927,0.602738077704,-49:27:40.4,1.7194514616102679,12.0
186,J1549-4848,0.288346763122,-48:48:37.44,3.9871338240238097,5.9
187,J1553-5456,1.0813282469,-54:56:06,2.242762776013393,8.4
188,J1555-2341,0.5325777412091406,-23:41:09.8798,2.242762776013393,10.8
189,J1555-3134,0.518109779800833,-31:34:20.10,9.469442832056547,27.3
190,J1557-4258,0.329186857758,-42:58:12.66,10.3,4.5
191,J1559-4438,0.2570560976508,-44:38:45.901778,82.0,8.9
192,J1559-5545,0.9572424424,-55:45:40,1.7942102208107142,9.0
193,J1600-3053,0.003597928455004779,-30:53:49.4061,6.08037908163631,0.094
194,J1600-5044,0.19260489976863637,-50:44:21.30,50.0,23.6
195,J1600-5751,0.194454482247,-57:51:14.7,6.229896600037202,9.9
196,J1602-5100,0.8642862082841154,-51:00:06.1,20.0,7.0
197,J1603-2531,0.28307037669209933,-25:31:47.3585,NaN,7.0
198,J1603-2712,0.7783131927918391,-27:13:27.6227,4.236329688025298,14.5
199,J1603-5657,0.49607711306,-56:57:44.19,2.242762776013393,2.5
200,J1603-7202,0.01484195225108228,-72:02:32.72985,8.721855240052083,1.206
201,J1604-4909,0.3274185215590687,-49:09:57.98,16.0,5.0
202,J1605-5257,0.6580134125047947,-52:57:34.5,28.0,32.7
203,J1607-0032,0.42181623358257625,-00:32:41.527,4.236329688025298,9.8
204,J1610-1322,1.0183927463615343,-13:22:22.3191,NaN,37.6
205,J1611-5209,0.182491659288,-52:09:23.6,3.6133400280215775,1.1
206,J1613-4714,0.3823767216695099,-47:14:26.9,3.8,8.5
207,J1614+0737,1.2068014363967932,+07:37:31.0104,1.4951751840089285,11.9
208,J1615-5444,0.360957675308,-54:44:32.4,1.4702555976087797,6.5
209,J1615-5537,0.79152571562,-55:37:00.5,1.9935669120119048,5.5
210,J1618-4723,0.20355287786,-47:23:19.1,2.491958640014881,10.5
